################################################################################
# Copyright (c) 2010, 2022 Contributors to the Eclipse Foundation
#
# See the NOTICE file(s) distributed with this work for additional
# information regarding copyright ownership.
#
# This program and the accompanying materials are made available under the terms
# of the MIT License which is available at https://opensource.org/licenses/MIT
#
# SPDX-License-Identifier: MIT
################################################################################

# time                x                    x'
0.0                   1.0                  1.0
0.08177654339579425   1.0817765433957942   1.0
0.8995419773537368    1.8995419773537372   1.0
0.9701813903622956    1.970181390362296    1.0
0.9813277600091546    1.981327760009155    1.0
0.9885403027713907    1.988540302771391    1.0
0.993691696922353     1.9936916969223533   1.0
0.9981554517020158    1.9981554517020161   1.0
0.9989981723801846    1.9989981723801848   1.0
0.9995267508135063    1.9995267508135064   1.0
0.9999688840311223    1.9999688840311225   1.0
0.9999927807856158    1.999992780785616    1.0
0.9999992904141694    1.9999992904141695   1.0
1.0000305703935572    2.0000869366442884   3.0
1.0000589738152084    2.0001721469092413   3.0
1.0003430080317184    2.0010242495587716   3.0
1.003183350196819     2.0095452760540735   3.0
1.031586771847826     2.0947555410070944   3.0
1.315620988357895     2.946858190537302    3.0
2.0                   4.999995225463616    3.0
