################################################################################
# Copyright (c) 2010, 2024 Contributors to the Eclipse Foundation
#
# See the NOTICE file(s) distributed with this work for additional
# information regarding copyright ownership.
#
# This program and the accompanying materials are made available under the terms
# of the MIT License which is available at https://opensource.org/licenses/MIT
#
# SPDX-License-Identifier: MIT
################################################################################

# time                 x                        x'
0.0                    0.0                      -2.0
9.999999999999999e-5   -1.9998999900012492e-4   -1.9997999700050002
0.0011                 -0.0021987886708306876   -1.9977963766575504
0.0111                 -0.022075441401570056    -1.9774372334853558
0.1111                 -0.2086795844500907      -1.7477732465836469
0.4386838927076575     -0.6452785517944979      -0.9383370387994976
0.6439541417059881     -0.7973617350111273      -0.5668525285289174
0.8310868671681683     -0.8809586816819749      -0.342953119487182
1.1776607860442532     -0.9568045634801028      -0.12772046382354718
1.5729136535125967     -0.9866698783663096      -0.03981267275830236
1.9986161511748937     -0.9962710417387206      -0.011172969654123843
2.450244854404956      -0.9990371264449505      -0.002887693539665559
2.9664920067400513     -0.9997953220376393      -6.139919940137961e-4
3.5695149089806435     -0.9999664699127607      -1.0058913745103482e-4
4.293378771047167      -0.9999961774090081      -1.1467758363359337e-5
5.191870617724527      -0.999999741962919       -7.741111764936193e-7
6.367212114851151      -0.9999999926766214      -2.197013571070272e-8
8.069182604876072      -1.000000000548613       1.645839020625317e-9
11.291817194488493     -0.9999999464834497      -1.6054964802059146e-7
13.182122839679401     -1.0000000138788474      4.163654221400748e-8
15.0                   -0.999999997704039       -6.887882930683986e-9
